City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mount Isa,AU,82.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
1,Kahului,US,80.62,few clouds,20.8947,-156.47,Maui Seaside Hotel
2,Hoa Binh,VN,87.93,light rain,20.8133,105.3383,Hoa Dao Hotel
5,Sao Joao Da Barra,BR,70.92,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
6,Coahuayana,MX,78.84,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
9,Ixtapa,MX,81.23,scattered clouds,20.7,-105.2,hotel la terminal
10,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
12,Delray Beach,US,86.0,clear sky,26.4615,-80.0728,Opal Grand Resort
14,Soto La Marina,MX,77.77,broken clouds,23.7667,-98.2167,Hotel Chicago
15,Palmer,US,75.06,overcast clouds,42.1584,-72.3287,Wedgewood Motel
19,Wanparti,IN,76.23,overcast clouds,16.3667,78.0667,Vasanth
23,Rikitea,PF,73.53,overcast clouds,-23.1203,-134.9692,People ThankYou
26,Nguru,NG,78.87,scattered clouds,12.8791,10.4526,Government Lodge
27,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
28,Paungde,MM,76.66,light rain,18.4833,95.5,Shwe Eain Matt highly cool guest house
31,Aktanysh,RU,73.63,overcast clouds,55.7216,54.0829,"Gostinitsa ""Aktanysh"""
33,Cabo San Lucas,MX,86.5,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
34,Samarai,PG,78.8,overcast clouds,-10.6167,150.6667,Nuli Sapi
35,Xiuyan,CN,80.11,clear sky,40.2928,123.2744,Helin Holiday Hotel
36,Liaoyang,CN,86.32,clear sky,41.2719,123.1731,Jinjiang Inn Style Liaoyang Xiangyu Avenue
38,Dakar,SN,79.68,scattered clouds,14.6937,-17.4441,Novotel Dakar
39,San Pedro,PH,89.35,broken clouds,14.35,121.0167,Palines Apartment and Guesthouse
40,Daru,PG,77.63,overcast clouds,-9.0763,143.2092,Daru Lodge
41,Labuhan,ID,88.95,overcast clouds,-6.8844,112.2051,DoubleFAG
