City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mount Isa,AU,-20.7333,139.5,82.17,17,7,5.75,clear sky
1,Kahului,US,20.8947,-156.47,80.62,71,20,23.02,few clouds
2,Hoa Binh,VN,20.8133,105.3383,87.93,69,88,3.76,light rain
3,Hermanus,ZA,-34.4187,19.2345,57.51,78,94,12.55,overcast clouds
4,Chuy,UY,-33.6971,-53.4616,45.05,79,0,6.51,clear sky
5,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.92,92,62,11.83,broken clouds
6,Coahuayana,MX,18.7333,-103.6833,78.84,84,92,1.83,overcast clouds
7,Arraial Do Cabo,BR,-22.9661,-42.0278,69.58,93,100,17.65,overcast clouds
8,Puerto Ayora,EC,-0.7393,-90.3518,68.56,91,89,5.99,overcast clouds
9,Ixtapa,MX,20.7,-105.2,81.23,83,40,3.44,scattered clouds
10,Vaini,TO,-21.2,-175.2,78.96,94,75,9.22,broken clouds
11,Pevek,RU,69.7008,170.3133,41.0,100,100,4.03,overcast clouds
12,Delray Beach,US,26.4615,-80.0728,86.0,83,0,10.36,clear sky
13,Jamestown,US,42.097,-79.2353,64.71,73,100,1.01,overcast clouds
14,Soto La Marina,MX,23.7667,-98.2167,77.77,84,59,6.53,broken clouds
15,Palmer,US,42.1584,-72.3287,75.06,68,100,6.91,overcast clouds
16,Dikson,RU,73.5069,80.5464,40.23,83,100,14.94,overcast clouds
17,San Carlos De Bariloche,AR,-41.1456,-71.3082,32.25,86,0,4.61,clear sky
18,Upernavik,GL,72.7868,-56.1549,40.6,94,100,18.25,light rain
19,Wanparti,IN,16.3667,78.0667,76.23,78,99,17.63,overcast clouds
20,Camana,PE,-16.6228,-72.7111,59.92,82,58,5.53,broken clouds
21,Port Elizabeth,ZA,-33.918,25.5701,58.32,91,0,16.11,clear sky
22,Mataura,NZ,-46.1927,168.8643,46.47,73,100,2.48,overcast clouds
23,Rikitea,PF,-23.1203,-134.9692,73.53,79,100,17.85,overcast clouds
24,New Norfolk,AU,-42.7826,147.0587,55.92,36,15,3.98,few clouds
25,Bredasdorp,ZA,-34.5322,20.0403,53.69,70,92,8.14,overcast clouds
26,Nguru,NG,12.8791,10.4526,78.87,67,27,9.37,scattered clouds
27,Kapaa,US,22.0752,-159.319,82.38,91,100,16.11,light rain
28,Paungde,MM,18.4833,95.5,76.66,90,100,8.25,light rain
29,Warrnambool,AU,-38.3833,142.4833,53.06,64,100,19.33,overcast clouds
30,Constitucion,CL,-35.3333,-72.4167,49.95,61,100,3.69,overcast clouds
31,Aktanysh,RU,55.7216,54.0829,73.63,68,100,2.62,overcast clouds
32,Ushuaia,AR,-54.8,-68.3,40.66,81,20,6.91,few clouds
33,Cabo San Lucas,MX,22.8909,-109.9124,86.5,73,99,1.99,overcast clouds
34,Samarai,PG,-10.6167,150.6667,78.8,79,100,20.33,overcast clouds
35,Xiuyan,CN,40.2928,123.2744,80.11,61,0,6.22,clear sky
36,Liaoyang,CN,41.2719,123.1731,86.32,57,0,11.72,clear sky
37,Pacific Grove,US,36.6177,-121.9166,64.81,86,0,3.44,clear sky
38,Dakar,SN,14.6937,-17.4441,79.68,82,25,12.73,scattered clouds
39,San Pedro,PH,14.35,121.0167,89.35,66,75,10.36,broken clouds
40,Daru,PG,-9.0763,143.2092,77.63,81,97,18.63,overcast clouds
41,Labuhan,ID,-6.8844,112.2051,88.95,55,94,6.33,overcast clouds
42,Danville,US,36.586,-79.395,77.02,91,0,4.61,clear sky
43,Camacha,PT,33.0833,-16.3333,67.42,73,40,13.8,scattered clouds
44,Wanning,CN,18.8003,110.3967,76.86,94,100,3.96,light rain
45,Busselton,AU,-33.65,115.3333,59.14,66,85,13.22,overcast clouds
46,Saint-Augustin,CA,51.226,-58.6502,56.5,88,23,3.4,few clouds
47,Punta Arenas,CL,-53.15,-70.9167,39.31,87,75,12.66,broken clouds
48,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,79.3,37,56,10.96,broken clouds
49,Kindu,CD,-2.95,25.95,69.49,53,61,1.23,broken clouds
50,Lagoa,PT,39.05,-27.9833,70.66,81,40,9.86,scattered clouds
51,Palana,RU,59.1167,159.9667,57.96,69,100,1.63,overcast clouds
52,Castro,BR,-24.7911,-50.0119,51.15,95,100,10.02,overcast clouds
53,Ponta Do Sol,PT,32.6667,-17.1,70.72,86,16,7.25,few clouds
54,Carutapera,BR,-1.195,-46.02,75.18,90,21,6.51,few clouds
55,Fortuna,US,40.5982,-124.1573,61.66,88,0,3.44,clear sky
56,Ewa Beach,US,21.3156,-158.0072,82.35,66,0,11.5,clear sky
57,Longyearbyen,SJ,78.2186,15.6401,46.24,81,75,0.0,broken clouds
58,Port Alfred,ZA,-33.5906,26.891,57.18,91,50,7.0,scattered clouds
59,Dhana,IN,23.75,78.85,81.73,78,100,14.43,overcast clouds
60,Mar Del Plata,AR,-38.0023,-57.5575,43.88,91,0,5.75,clear sky
61,Bluff,NZ,-46.6,168.3333,46.8,78,91,9.46,light rain
62,Los Llanos De Aridane,ES,28.6585,-17.9182,69.12,76,100,13.8,overcast clouds
63,Dwarka,IN,22.2394,68.9678,85.14,78,100,13.67,overcast clouds
64,Havre-Saint-Pierre,CA,50.2334,-63.5986,51.8,87,0,4.61,clear sky
65,Cape Town,ZA,-33.9258,18.4232,56.1,91,75,17.27,heavy intensity drizzle
66,Mpongwe,ZM,-13.5091,28.155,55.94,47,0,4.36,clear sky
67,Takoradi,GH,4.8845,-1.7554,72.7,91,60,8.1,broken clouds
68,Khatanga,RU,71.9667,102.5,59.23,53,92,18.45,light rain
69,Torbay,CA,47.6666,-52.7314,57.58,95,100,25.32,light rain
70,Richards Bay,ZA,-28.783,32.0377,62.04,86,0,8.55,clear sky
71,Krutinka,RU,56.0055,71.5113,66.58,80,100,9.01,overcast clouds
72,Hobart,AU,-42.8794,147.3294,56.26,54,20,10.36,few clouds
73,Esperance,AU,-33.8667,121.9,55.47,69,89,25.93,light rain
74,Monte Alegre,BR,-2.0078,-54.0692,74.89,59,19,4.7,few clouds
75,Hilo,US,19.7297,-155.09,84.27,83,100,4.61,overcast clouds
76,Grand Gaube,MU,-20.0064,57.6608,72.37,50,74,14.0,broken clouds
77,Astana,KZ,51.1801,71.446,66.15,72,75,13.42,light rain
78,Adrar,MR,20.5022,-10.0711,88.99,13,40,17.38,scattered clouds
79,Muros,ES,42.7762,-9.0603,68.16,95,0,2.93,clear sky
80,Atuona,PF,-9.8,-139.0333,77.49,70,3,19.51,clear sky
81,Provideniya,RU,64.3833,-173.3,48.36,87,75,15.99,broken clouds
82,Hamilton,US,39.1834,-84.5333,74.25,96,75,4.61,broken clouds
83,Yanam,IN,16.7333,82.2167,86.25,61,100,11.9,moderate rain
84,Kavieng,PG,-2.5744,150.7967,77.79,86,95,6.24,moderate rain
85,Faanui,PF,-16.4833,-151.75,75.15,75,26,3.06,scattered clouds
86,Valle De Allende,MX,26.9333,-105.4,74.59,42,71,7.29,broken clouds
87,Kununurra,AU,-15.7667,128.7333,94.98,21,48,6.91,scattered clouds
88,Cayenne,GF,4.9333,-52.3333,82.09,1,100,1.14,overcast clouds
89,Tuktoyaktuk,CA,69.4541,-133.0374,46.4,87,100,20.71,overcast clouds
90,San Cristobal,VE,7.7669,-72.225,73.58,96,99,2.98,overcast clouds
91,Saskylakh,RU,71.9167,114.0833,55.22,80,100,9.71,light rain
92,Zemio,CF,5.0314,25.1361,68.95,97,99,2.3,light rain
93,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,11.5,scattered clouds
94,Carnarvon,AU,-24.8667,113.6333,65.73,43,9,17.52,clear sky
95,East London,ZA,-33.0153,27.9116,59.94,72,0,5.75,clear sky
96,Hithadhoo,MV,-0.6,73.0833,81.97,73,42,6.6,scattered clouds
97,Alice Springs,AU,-23.7,133.8833,71.15,30,75,10.36,broken clouds
98,Yellowknife,CA,62.456,-114.3525,55.63,71,66,8.41,broken clouds
99,Bethel,US,41.3712,-73.414,79.16,80,100,0.0,overcast clouds
100,Butaritari,KI,3.0707,172.7902,81.84,75,27,13.06,light rain
101,Agadez,NE,19.75,10.25,85.28,36,29,1.57,scattered clouds
102,Kaitangata,NZ,-46.2817,169.8464,44.01,71,89,5.75,overcast clouds
103,Cherskiy,RU,68.75,161.3,61.97,61,61,10.45,broken clouds
104,Lixourion,GR,38.2019,20.4314,73.4,78,20,0.0,few clouds
105,Bac Lieu,VN,9.285,105.7244,85.82,66,94,16.11,overcast clouds
106,Svetlograd,RU,45.3353,42.8547,81.99,29,0,15.21,clear sky
107,Mount Gambier,AU,-37.8333,140.7667,55.62,61,100,14.0,overcast clouds
108,Valparaiso,CL,-33.0393,-71.6273,51.44,71,0,5.75,clear sky
109,Tasiilaq,GL,65.6145,-37.6368,37.56,90,82,5.68,broken clouds
110,Georgetown,MY,5.4112,100.3354,89.89,67,20,5.75,few clouds
111,Samut Songkhram,TH,13.4,99.9583,87.03,73,100,6.15,overcast clouds
112,Lorengau,PG,-2.0226,147.2712,84.61,69,46,7.34,scattered clouds
113,Saint-Philippe,RE,-21.3585,55.7679,69.39,78,92,17.9,light rain
114,Dongsheng,CN,39.8161,109.9776,74.07,62,80,3.44,broken clouds
115,Jumla,NP,29.2747,82.1838,77.09,63,99,5.08,overcast clouds
116,Butterworth,MY,5.3991,100.3638,89.65,58,20,8.05,haze
117,Olavarria,AR,-36.8927,-60.3225,40.01,79,10,7.11,clear sky
118,Tigil,RU,57.8,158.6667,56.46,91,100,11.3,light rain
119,Port Lincoln,AU,-34.7333,135.8667,59.58,60,89,21.63,overcast clouds
120,Shubarshi,KZ,48.5872,57.1869,80.22,31,2,8.23,clear sky
121,Broome,US,42.2506,-75.833,64.78,94,100,4.61,overcast clouds
122,Cedar City,US,37.6775,-113.0619,66.4,94,0,3.44,clear sky
123,Genhe,CN,50.7833,121.5167,62.24,61,93,6.89,overcast clouds
124,Pedernales,DO,18.0384,-71.744,81.77,69,1,1.9,clear sky
125,La Ronge,CA,55.1001,-105.2842,57.45,62,0,8.05,clear sky
126,Thompson,CA,55.7435,-97.8558,51.96,93,75,9.22,broken clouds
127,Sao Joao Dos Patos,BR,-6.495,-43.7022,68.05,42,2,3.85,clear sky
128,Qaanaaq,GL,77.484,-69.3632,31.24,65,0,5.14,clear sky
129,Deutschlandsberg,AT,46.8153,15.2222,63.91,84,27,2.86,scattered clouds
130,Makakilo City,US,21.3469,-158.0858,80.92,65,0,11.5,clear sky
131,Katsuura,JP,35.1333,140.3,84.52,77,53,20.0,broken clouds
132,Anaco,VE,9.4389,-64.4728,74.41,89,97,7.47,overcast clouds
133,Moyo,UG,3.6609,31.7247,66.74,96,100,0.69,overcast clouds
134,Bambous Virieux,MU,-20.3428,57.7575,71.22,64,75,20.71,broken clouds
135,Xingyi,CN,24.1877,102.817,77.32,52,5,4.56,clear sky
136,Virginia Beach,US,36.8529,-75.978,84.02,86,0,11.5,clear sky
137,Russas,BR,-4.9403,-37.9758,71.44,78,54,4.61,broken clouds
138,Shaoyang,CN,27.2315,111.4525,95.0,41,16,9.13,few clouds
139,Jha Jha,IN,24.7667,86.3667,89.17,61,99,21.52,overcast clouds
140,Albany,US,42.6001,-73.9662,67.17,83,23,2.24,few clouds
141,Saldanha,ZA,-33.0117,17.9442,54.36,93,46,9.8,scattered clouds
142,Salalah,OM,17.0151,54.0924,77.09,100,100,4.61,drizzle
143,Jadu,LY,31.953,12.0261,70.16,56,0,4.25,clear sky
144,Souillac,MU,-20.5167,57.5167,70.18,64,75,20.71,light rain
145,Turayf,SA,31.6725,38.6637,75.45,64,0,12.66,clear sky
146,Bukachacha,RU,52.9833,116.9167,58.44,68,95,9.89,overcast clouds
147,Coihueco,CL,-36.6167,-71.8333,38.14,100,0,0.0,clear sky
148,Novikovo,RU,51.1537,37.8879,72.16,61,86,6.87,overcast clouds
149,Surgana,IN,20.5667,73.6167,75.29,89,100,13.4,overcast clouds
150,Egvekinot,RU,66.3167,-179.1667,58.84,55,87,7.45,overcast clouds
151,Balkanabat,TM,39.5108,54.3671,88.41,39,43,11.88,scattered clouds
152,Isangel,VU,-19.55,169.2667,71.89,71,92,16.73,overcast clouds
153,Mahebourg,MU,-20.4081,57.7,72.25,64,75,20.71,broken clouds
154,Vanimo,PG,-2.6741,141.3028,78.84,82,100,2.62,overcast clouds
155,Bubaque,GW,11.2833,-15.8333,80.08,83,100,10.0,moderate rain
156,Birjand,IR,32.8663,59.2211,82.87,17,0,18.41,clear sky
157,Lipovtsy,RU,44.2014,131.7244,83.37,48,8,10.94,clear sky
158,Saint-Francois,FR,46.4154,3.9054,56.68,82,0,1.14,clear sky
159,Pangnirtung,CA,66.1451,-65.7125,46.24,78,48,3.0,scattered clouds
160,Altay,CN,47.8667,88.1167,85.64,18,43,11.27,scattered clouds
